pid,trial_index,stimulus_song,target_song,emotion,arousal,valence,correct
4,0,audio/3_It_Only_Hurts_When_I'm_Breathing.mp3,sad,happy,4,5,FALSE
4,1,audio/5_Love's_Requiem.mp3,sad,sad,3,3,TRUE
4,2,audio/9_Pain_(Live_Version).mp3,angry,angry,6,5,TRUE
4,3,audio/16_Restless.mp3,happy,happy,7,5,TRUE
4,4,audio/8_Restless.mp3,happy,happy,5,6,TRUE
4,5,audio/26_It_Only_Hurts_When_I'm_Breathing.mp3,sad,none of these,5,5,FALSE
4,6,audio/2_Blood_On_The_Ground.mp3,angry,angry,5,4,TRUE
4,7,audio/11_Be_Happy.mp3,happy,happy,5,3,TRUE
4,8,audio/4_Destiny.mp3,relaxed,relaxed,3,5,TRUE
4,9,audio/4_Come_On_Baby.mp3,relaxed,relaxed,3,4,TRUE
4,10,audio/4_Mbube.mp3,relaxed,happy,4,5,FALSE
4,11,audio/7_Digital.mp3,relaxed,sad,4,3,FALSE
4,12,audio/24_Restless.mp3,happy,happy,5,5,TRUE
4,13,audio/15_Bunkertor_7_(German_Texture).mp3,angry,angry,7,3,TRUE
4,14,audio/21_Skank_Down.mp3,happy,happy,7,6,TRUE
4,15,audio/3_Old_Blacktop.mp3,sad,sad,2,3,TRUE
4,16,audio/12_Fire_And_Rain_(LP_Version).mp3,sad,sad,4,3,TRUE
4,17,audio/3_Walk_on_the_wild_side.mp3,relaxed,relaxed,3,5,TRUE
4,18,audio/2_Boser_Wolf.mp3,sad,relaxed,3,5,FALSE
4,19,audio/2_Incomplete.mp3,angry,angry,7,5,TRUE
4,20,audio/5_Valerie.mp3,happy,happy,5,6,TRUE
4,21,audio/14_Get_Lucky.mp3,happy,happy,5,7,TRUE
4,22,audio/1_The_Sweetest.mp3,relaxed,relaxed,5,6,TRUE
4,23,audio/25_Old_Blacktop.mp3,sad,sad,5,3,TRUE
4,24,audio/26_Make_Light.mp3,happy,happy,5,5,TRUE
4,25,audio/13_Boser_Wolf.mp3,sad,sad,5,3,TRUE
4,26,audio/8_Fire_And_Rain__(LP_Version).mp3,sad,happy,6,5,FALSE
4,27,audio/12_Skinny_Love.mp3,sad,sad,3,3,TRUE
4,28,audio/2_Love's_Requiem.mp3,sad,sad,4,2,TRUE
4,29,audio/23_Inside.mp3,sad,happy,5,5,FALSE
4,30,audio/13_Motown_Junk.mp3,angry,happy,7,5,FALSE
4,31,audio/2_Inside.mp3,sad,sad,5,2,TRUE
4,32,audio/2_Sweet_Song.mp3,relaxed,relaxed,2,2,TRUE
4,33,audio/7_Here_Today.mp3,sad,happy,3,4,FALSE
4,34,audio/2_On_A_Slow_Boat_To_China.mp3,relaxed,relaxed,3,6,TRUE
4,35,audio/1_Skinny_Love.mp3,sad,sad,3,2,TRUE
4,36,audio/28_Valerie.mp3,happy,happy,5,5,TRUE
4,37,audio/15_Here_Today.mp3,sad,sad,3,3,TRUE
4,38,audio/5_Get_Lucky.mp3,happy,happy,3,5,TRUE
4,39,audio/4_Make_Light.mp3,happy,happy,3,5,TRUE
4,40,audio/12_Skank_Down.mp3,happy,happy,7,5,TRUE
4,41,audio/1_Be_Happy.mp3,happy,happy,6,5,TRUE
5,0,audio/13_Motown_Junk.mp3,angry,happy,7,6,FALSE
5,1,audio/24_Restless.mp3,happy,relaxed,4,4,FALSE
5,2,audio/14_Get_Lucky.mp3,happy,relaxed,4,4,FALSE
5,3,audio/15_Bunkertor_7_(German_Texture).mp3,angry,angry,6,4,TRUE
5,4,audio/2_Boser_Wolf.mp3,sad,relaxed,3,4,FALSE
5,5,audio/1_Skinny_Love.mp3,sad,sad,2,2,TRUE
5,6,audio/5_Get_Lucky.mp3,happy,happy,5,4,TRUE
5,7,audio/11_Be_Happy.mp3,happy,angry,4,4,FALSE
5,8,audio/1_Be_Happy.mp3,happy,none of these,4,4,FALSE
5,9,audio/26_Make_Light.mp3,happy,sad,4,4,FALSE
5,10,audio/4_Destiny.mp3,relaxed,sad,4,4,FALSE
5,11,audio/28_Valerie.mp3,happy,sad,4,4,FALSE
